latent_dim=16, p=8, learning_rate=0.0001, normalize=False, best_result={'epoch': 124, 'ACC': 60.11, 'NMI': 35.589999999999996, 'PUR': 65.81}, final_result={'epoch': 149, 'ACC': 59.19, 'NMI': 34.13, 'PUR': 63.6}
latent_dim=16, p=16, learning_rate=0.01, normalize=True, best_result={'epoch': 95, 'ACC': 53.31, 'NMI': 20.71, 'PUR': 55.7}, final_result={'epoch': 149, 'ACC': 51.1, 'NMI': 21.7, 'PUR': 55.879999999999995}
latent_dim=16, p=16, learning_rate=0.01, normalize=False, best_result={'epoch': 86, 'ACC': 74.82, 'NMI': 61.5, 'PUR': 79.03999999999999}, final_result={'epoch': 149, 'ACC': 69.3, 'NMI': 60.88, 'PUR': 78.68}
latent_dim=16, p=16, learning_rate=0.0001, normalize=True, best_result={'epoch': 91, 'ACC': 36.4, 'NMI': 7.290000000000001, 'PUR': 42.46}, final_result={'epoch': 149, 'ACC': 34.19, 'NMI': 6.05, 'PUR': 42.65}
latent_dim=16, p=16, learning_rate=0.0001, normalize=False, best_result={'epoch': 43, 'ACC': 51.1, 'NMI': 25.919999999999998, 'PUR': 59.74}, final_result={'epoch': 149, 'ACC': 48.71, 'NMI': 28.27, 'PUR': 59.19}
latent_dim=32, p=1, learning_rate=0.01, normalize=True, best_result={'epoch': 30, 'ACC': 66.36, 'NMI': 43.88, 'PUR': 66.91}, final_result={'epoch': 149, 'ACC': 63.79, 'NMI': 41.260000000000005, 'PUR': 64.71000000000001}
latent_dim=32, p=1, learning_rate=0.01, normalize=False, best_result={'epoch': 54, 'ACC': 93.93, 'NMI': 82.47, 'PUR': 93.93}, final_result={'epoch': 149, 'ACC': 93.2, 'NMI': 80.74, 'PUR': 93.2}
latent_dim=32, p=1, learning_rate=0.0001, normalize=True, best_result={'epoch': 54, 'ACC': 46.69, 'NMI': 16.41, 'PUR': 51.1}, final_result={'epoch': 149, 'ACC': 45.4, 'NMI': 15.110000000000001, 'PUR': 50.92}
latent_dim=32, p=1, learning_rate=0.0001, normalize=False, best_result={'epoch': 65, 'ACC': 77.75999999999999, 'NMI': 57.989999999999995, 'PUR': 78.31}, final_result={'epoch': 149, 'ACC': 70.59, 'NMI': 46.18, 'PUR': 70.59}
latent_dim=32, p=2, learning_rate=0.01, normalize=True, best_result={'epoch': 109, 'ACC': 70.96000000000001, 'NMI': 49.55, 'PUR': 72.98}, final_result={'epoch': 149, 'ACC': 70.22, 'NMI': 49.309999999999995, 'PUR': 73.16}
latent_dim=32, p=2, learning_rate=0.01, normalize=False, best_result={'epoch': 102, 'ACC': 92.10000000000001, 'NMI': 79.07, 'PUR': 92.10000000000001}, final_result={'epoch': 149, 'ACC': 91.91, 'NMI': 78.63, 'PUR': 91.91}
latent_dim=32, p=2, learning_rate=0.0001, normalize=True, best_result={'epoch': 71, 'ACC': 47.61, 'NMI': 20.11, 'PUR': 54.6}, final_result={'epoch': 149, 'ACC': 45.59, 'NMI': 19.96, 'PUR': 50.739999999999995}
latent_dim=32, p=2, learning_rate=0.0001, normalize=False, best_result={'epoch': 93, 'ACC': 79.23, 'NMI': 64.81, 'PUR': 81.8}, final_result={'epoch': 149, 'ACC': 67.10000000000001, 'NMI': 55.08, 'PUR': 75.37}
latent_dim=32, p=3, learning_rate=0.01, normalize=True, best_result={'epoch': 101, 'ACC': 62.5, 'NMI': 42.199999999999996, 'PUR': 66.36}, final_result={'epoch': 149, 'ACC': 59.19, 'NMI': 39.22, 'PUR': 65.25999999999999}
latent_dim=32, p=3, learning_rate=0.01, normalize=False, best_result={'epoch': 53, 'ACC': 91.36, 'NMI': 77.47, 'PUR': 91.36}, final_result={'epoch': 149, 'ACC': 70.04, 'NMI': 69.69, 'PUR': 81.62}
latent_dim=32, p=3, learning_rate=0.0001, normalize=True, best_result={'epoch': 79, 'ACC': 43.57, 'NMI': 15.9, 'PUR': 47.79}, final_result={'epoch': 149, 'ACC': 37.32, 'NMI': 13.65, 'PUR': 45.22}
latent_dim=32, p=3, learning_rate=0.0001, normalize=False, best_result={'epoch': 102, 'ACC': 80.7, 'NMI': 67.92, 'PUR': 82.72}, final_result={'epoch': 149, 'ACC': 80.33, 'NMI': 67.5, 'PUR': 82.54}
latent_dim=32, p=4, learning_rate=0.01, normalize=True, best_result={'epoch': 89, 'ACC': 69.49, 'NMI': 47.339999999999996, 'PUR': 75.55}, final_result={'epoch': 149, 'ACC': 69.12, 'NMI': 49.05, 'PUR': 76.64999999999999}
latent_dim=32, p=4, learning_rate=0.01, normalize=False, best_result={'epoch': 103, 'ACC': 92.83, 'NMI': 82.12, 'PUR': 92.83}, final_result={'epoch': 149, 'ACC': 69.3, 'NMI': 62.419999999999995, 'PUR': 72.43}
